gen;best;avg;worst
987;8027;21566;32224
988;8027;21139;30748
989;8027;20357;30414
990;8027;20576;30998
991;8027;20303;31311
992;8027;19705;30977
993;8027;21364;32076
994;8027;21803;32329
995;8027;22456;33708
996;8027;22087;33582
997;8027;23177;33357
998;8027;21604;32456
999;8027;23068;34136
